time	wordtype	count
2016-07-13 22:22:20	X1	0
2016-07-13 22:19:48	X1	0
2016-07-13 22:11:04	X1	0
2016-07-13 22:06:30	X1	0
2016-07-13 22:05:22	X1	0
2016-07-13 21:56:42	X1	2
2016-07-13 21:22:44	X1	0
2016-07-13 12:50:04	X1	0
2016-07-13 12:33:15	X1	0
2016-07-13 04:54:40	X1	0
2016-07-13 03:08:58	X1	0
2016-07-12 22:19:52	X1	0
2016-07-12 21:59:45	X1	0
2016-07-12 21:10:03	X1	0
2016-07-12 17:04:19	X1	0
2016-07-12 17:03:44	X1	0
2016-07-12 17:01:51	X1	0
2016-07-12 16:45:45	X1	0
2016-07-12 13:39:56	X1	0
2016-07-12 13:36:47	X1	0
2016-07-12 12:57:18	X1	0
2016-07-12 12:55:29	X1	0
2016-07-12 11:58:58	X1	0
2016-07-12 02:12:19	X1	0
2016-07-12 00:56:29	X1	0
2016-07-11 22:18:22	X1	0
2016-07-11 21:40:30	X1	0
2016-07-11 19:51:29	X1	0
2016-07-11 11:57:45	X1	0
2016-07-10 18:58:10	X1	0
2016-07-10 18:42:32	X1	0
2016-07-10 18:27:58	X1	1
2016-07-10 12:02:02	X1	0
2016-07-09 21:22:25	X1	0
2016-07-09 15:18:58	X1	0
2016-07-08 23:26:56	X1	0
2016-07-08 21:31:01	X1	1
2016-07-08 14:32:15	X1	0
2016-07-08 13:20:47	X1	0
2016-07-08 11:02:41	X1	0
2016-07-08 01:52:04	X1	0
2016-07-07 20:09:59	X1	0
2016-07-07 20:06:17	X1	0
2016-07-07 20:04:58	X1	0
2016-07-07 18:07:28	X1	0
2016-07-07 11:33:49	X1	0
2016-07-07 01:34:20	X1	0
2016-07-06 21:58:50	X1	0
2016-07-06 15:32:35	X1	0
2016-07-06 14:06:38	X1	0
2016-07-06 14:01:09	X1	0
2016-07-06 13:24:50	X1	0
2016-07-06 13:12:43	X1	0
2016-07-06 13:08:44	X1	0
2016-07-06 12:31:27	X1	0
2016-07-06 12:11:03	X1	0
2016-07-06 11:21:34	X1	0
2016-07-06 11:12:45	X1	0
2016-07-06 04:36:31	X1	0
2016-07-06 04:30:04	X1	0
2016-07-06 04:23:03	X1	0
2016-07-06 02:21:20	X1	0
2016-07-06 00:52:40	X1	0
2016-07-05 18:36:15	X1	0
2016-07-05 15:39:06	X1	0
2016-07-05 15:37:23	X1	0
2016-07-05 12:05:46	X1	0
2016-07-05 11:14:58	X1	0
2016-07-04 22:59:46	X1	0
2016-07-04 22:30:15	X1	0
2016-07-04 15:34:15	X1	0
2016-07-04 15:26:56	X1	0
2016-07-04 14:25:04	X1	0
2016-07-04 14:19:13	X1	0
2016-07-04 14:11:09	X1	0
2016-07-04 13:56:34	X1	0
2016-07-04 13:42:16	X1	1
2016-07-03 20:16:23	X1	1
2016-07-03 17:40:49	X1	0
2016-07-02 21:13:02	X1	0
2016-07-02 20:39:39	X1	0
2016-07-02 15:33:19	X1	0
2016-07-02 15:32:04	X1	0
2016-07-02 15:23:25	X1	0
2016-07-02 15:19:35	X1	0
2016-07-02 15:19:19	X1	0
2016-07-02 13:55:45	X1	0
2016-07-02 13:45:16	X1	0
2016-07-02 11:55:14	X1	0
2016-07-02 11:48:18	X1	0
2016-07-02 01:29:25	X1	0
2016-07-02 01:19:46	X1	0
2016-07-01 19:47:04	X1	0
2016-07-01 17:07:52	X1	0
2016-07-01 16:43:56	X1	0
2016-07-01 15:51:46	X1	0
2016-07-01 13:32:19	X1	0
2016-07-01 13:24:14	X1	0
2016-07-01 12:12:48	X1	1
2016-07-01 12:12:06	X1	0
2016-07-01 12:11:41	X1	0
2016-07-01 02:59:43	X1	0
2016-06-30 22:41:28	X1	0
2016-06-30 19:30:54	X1	0
2016-06-30 19:30:20	X1	1
2016-06-30 19:29:48	X1	0
2016-06-30 19:28:27	X1	0
2016-06-30 18:53:11	X1	0
2016-06-30 17:32:20	X1	0
2016-06-30 14:48:18	X1	0
2016-06-30 02:39:36	X1	0
2016-06-30 02:30:59	X1	0
2016-06-30 01:46:50	X1	0
2016-06-29 22:57:44	X1	0
2016-06-29 18:21:38	X1	0
2016-06-29 14:48:24	X1	0
2016-06-29 14:39:13	X1	1
2016-06-29 14:37:37	X1	0
2016-06-29 13:14:56	X1	0
